2026-07-20 18:41:17,616 | WARNING | Search query failed; continuing with remaining queries: airon makina resmi sitesi (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
2026-07-20 18:41:40,222 | WARNING | Search query failed; continuing with remaining queries: agp enerji contact (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
2026-07-20 18:41:40,253 | INFO | Processing 16: AKBAL MAKİNA END.SAN. VE DIŞ TİC.LTD.ŞTİ.
2026-07-20 18:41:40,254 | INFO | Processing 16 with supplied website: AKBAL MAKİNA END.SAN. VE DIŞ TİC.LTD.ŞTİ. -> https://www.akbalmakina.com/
2026-07-20 18:41:40,270 | INFO | Completed 13/369: AK MAKİNA SAN VE TİC LTD ŞTİ
2026-07-20 18:41:51,704 | INFO | Processing 17: AKERMAK TEKNİK HIRDAVAT VE ENDÜSTRİYEL ÜRÜNLERİ SAN. VE TİC. A. Ş.
2026-07-20 18:41:51,705 | INFO | Processing 17 with supplied website: AKERMAK TEKNİK HIRDAVAT VE ENDÜSTRİYEL ÜRÜNLERİ SAN. VE TİC. A. Ş. -> https://www.akermak.com/
2026-07-20 18:41:51,719 | INFO | Completed 14/369: AKBAL MAKİNA END.SAN. VE DIŞ TİC.LTD.ŞTİ.
2026-07-20 18:41:54,627 | INFO | Processing 18: AKKO MAKINA SAN. VE TIC. A.Ş.
2026-07-20 18:41:54,628 | INFO | Processing 18 with supplied website: AKKO MAKINA SAN. VE TIC. A.Ş. -> https://www.akko.com.tr/tr
2026-07-20 18:41:54,642 | INFO | Completed 15/369: AKERMAK TEKNİK HIRDAVAT VE ENDÜSTRİYEL ÜRÜNLERİ SAN. VE TİC. A. Ş.
2026-07-20 18:42:04,109 | INFO | Processing 19: AKSÜT MAKİNA METAL İNŞ. TEKS. OTO. PET. ÜRÜN. TİC. VE SAN. LTD. ŞTİ.
2026-07-20 18:42:04,128 | INFO | Completed 16/369: AKKO MAKINA SAN. VE TIC. A.Ş.
2026-07-20 18:42:50,545 | WARNING | Search query failed; continuing with remaining queries: aksut makina makine (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
2026-07-20 18:43:01,878 | WARNING | Search query failed; continuing with remaining queries: aksut makina metal ins teks oto pet urun tic ve san ltd sti makine (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
2026-07-20 18:43:32,149 | INFO | Processing 20: AKTİF KESİCİ TAKIM HIRDAVAT MAK. SAN. TİC. LTD. ŞTİ.
2026-07-20 18:43:32,151 | INFO | Processing 20 with supplied website: AKTİF KESİCİ TAKIM HIRDAVAT MAK. SAN. TİC. LTD. ŞTİ. -> https://www.aktifkesicitakim.com.tr
2026-07-20 18:43:32,168 | INFO | Completed 17/369: AIRON ENDÜSTRİ MAKİNA SANAYİ VE TİCARET LİMİTED ŞİRKETİ
2026-07-20 18:43:50,726 | WARNING | Search query failed; continuing with remaining queries: "aksut makina metal ins teks oto pet urun tic ve san ltd sti" web sitesi (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
2026-07-20 18:44:03,293 | INFO | Processing 21: AKYAPAK MAKİNA SANAYİ TİCARET A. Ş.
2026-07-20 18:44:03,294 | INFO | Processing 21 with supplied website: AKYAPAK MAKİNA SANAYİ TİCARET A. Ş. -> https://akyapak.com/en
2026-07-20 18:44:03,312 | INFO | Completed 18/369: AKTİF KESİCİ TAKIM HIRDAVAT MAK. SAN. TİC. LTD. ŞTİ.
2026-07-20 18:44:14,976 | INFO | Processing 22: ALFAMAK KALIP ELEMANLARI MAKİNA SAN. TİC. LTD. ŞTİ.
2026-07-20 18:44:14,977 | INFO | Processing 22 with supplied website: ALFAMAK KALIP ELEMANLARI MAKİNA SAN. TİC. LTD. ŞTİ. -> https://alfamak.com/en
2026-07-20 18:44:14,997 | INFO | Completed 19/369: AKYAPAK MAKİNA SANAYİ TİCARET A. Ş.
2026-07-20 18:44:26,951 | INFO | Processing 23: ALKA MAKİNA OTO İNŞ. ELK. İTH. İHR. SAN. VE DIŞ TİC. LTD. ŞTİ.
2026-07-20 18:44:26,951 | INFO | Processing 23 with supplied website: ALKA MAKİNA OTO İNŞ. ELK. İTH. İHR. SAN. VE DIŞ TİC. LTD. ŞTİ. -> https://www.alkamakina.com
2026-07-20 18:44:26,970 | INFO | Completed 20/369: ALFAMAK KALIP ELEMANLARI MAKİNA SAN. TİC. LTD. ŞTİ.
2026-07-20 18:44:34,123 | INFO | Processing 24: ALTAN MAKİNA HIR. SAN TİC A.Ş.
2026-07-20 18:44:34,144 | INFO | Completed 21/369: ALKA MAKİNA OTO İNŞ. ELK. İTH. İHR. SAN. VE DIŞ TİC. LTD. ŞTİ.
2026-07-20 18:44:45,948 | INFO | Processing 25: ALTERNATİF RULMAN A.Ş.
2026-07-20 18:44:45,981 | INFO | Completed 22/369: AKSÜT MAKİNA METAL İNŞ. TEKS. OTO. PET. ÜRÜN. TİC. VE SAN. LTD. ŞTİ.
2026-07-20 18:45:05,400 | INFO | Processing 26: ANCA TURKEY CNC MAKİNE LTD.ŞTİ.
2026-07-20 18:45:05,401 | INFO | Processing 26 with supplied website: ANCA TURKEY CNC MAKİNE LTD.ŞTİ. -> https://anca.com
2026-07-20 18:45:05,418 | INFO | Completed 23/369: ALTERNATİF RULMAN A.Ş.
2026-07-20 18:45:17,514 | INFO | Processing 27: ARAN MAKİNA SAN.VE TİC. AHMET ARMUTÇUOĞLU
2026-07-20 18:45:17,533 | INFO | Completed 24/369: ANCA TURKEY CNC MAKİNE LTD.ŞTİ.
2026-07-20 18:45:36,098 | WARNING | Search query failed; continuing with remaining queries: aran makina Turkiye official website (Bright Data returned non-JSON body: This query cannot be attempted at this time. Please try again later)
